Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,O8.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,10.708032007181018,3.2124361306237805
,,O8.MAA000559.3_8_M.1.1,B cell,CL:0000236,0,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,8.792420939417582,19.945515470520803
,,O8.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,28.966455374237015,3.571989128798821
,,O8.MAA000779.3_11_M.1.1,B cell,CL:0000236,3,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-13.545990229143882,21.94932141595283
,,O9.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,7.724919973968924,-10.469357558969806
,,O9.B001750.3_38_F.1.1,B cell,CL:0000236,2,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,15.019097404588676,-24.25882527282639
,,O9.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,4.470953419559615,15.2395872339092
,,O9.MAA000776.3_10_M.1.1,B cell,CL:0000236,0,,3_10_M,M,MAA000776,,,,,,,,,,,,Spleen,29.807691387643136,9.841986018916437
,,O9.MAA000779.3_11_M.1.1,T cell,CL:0000084,1,,3_11_M,M,MAA000779,,,,,,,,,,,,Spleen,-39.079780641158536,4.699141490503774
,,P1.B000971.3_39_F.1.1,B cell,CL:0000236,2,,3_39_F,F,B000971,,,,,,,,,,,,Spleen,16.44022869650398,-9.190905340555664
,,P1.B001750.3_38_F.1.1,B cell,CL:0000236,4,,3_38_F,F,B001750,,,,,,,,,,,,Spleen,-14.862740086390978,-1.316012885350404
,,P1.MAA000508.3_9_M.1.1,B cell,CL:0000236,0,,3_9_M,M,MAA000508,,,,,,,,,,,,Spleen,7.884343001039473,15.995735649327557
,,P1.MAA000559.3_8_M.1.1,T cell,CL:0000084,1,,3_8_M,M,MAA000559,,,,,,,,,,,,Spleen,-17.453236909369302,-16.298363044819652
